id,structure,leftColor,rightColor,combo,gameOutcome,delay,attentionCheck
1,conjunctive,red,yellow,solid-solid,win,simult,true
2,conjunctive,blue,yellow,striped-solid,lose,short,true
3,disjunctive,red,green,solid-striped,simult,true
4,disjunctive,blue,green,striped-striped,short,true
