id,structure,leftColor,rightColor,gameOutcome,delay,attentionCheck
1,conjunctive,red,yellow,win,simult,true
2,conjunctive,blue,yellow,lose,short,true
3,disjunctive,red,green,win,simult,true
4,disjunctive,blue,green,lose,short,true
